draw_date,winning_numbers,num1,num2,num3,num4,num5,num6
2017-09-23,07 24 37 40 50 56,7,24,37,40,50,56
2017-09-27,27 32 40 49 50 54,27,32,40,49,50,54
2017-09-30,03 16 43 49 50 54,3,16,43,49,50,54
2017-10-04,23 43 52 54 57 58,23,43,52,54,57,58
2017-10-07,03 06 29 37 53 56,3,6,29,37,53,56
2017-10-11,06 16 24 25 37 38,6,16,24,25,37,38
2017-10-14,02 04 14 17 25 49,2,4,14,17,25,49
2017-10-18,06 12 30 48 54 55,6,12,30,48,54,55
2017-10-21,15 41 50 53 55 58,15,41,50,53,55,58
2017-10-25,05 09 19 29 38 40,5,9,19,29,38,40
2017-10-28,12 19 33 35 46 47,12,19,33,35,46,47
2017-11-01,17 22 34 43 44 58,17,22,34,43,44,58
2017-11-04,04 06 31 45 51 59,4,6,31,45,51,59
2017-11-08,02 15 20 26 43 44,2,15,20,26,43,44
2017-11-11,06 22 30 35 55 59,6,22,30,35,55,59
2017-11-15,28 35 37 39 53 54,28,35,37,39,53,54
2017-11-18,07 14 31 48 54 57,7,14,31,48,54,57
2017-11-22,04 09 28 37 43 48,4,9,28,37,43,48
2017-11-25,02 14 21 23 38 44,2,14,21,23,38,44
2017-11-29,05 14 15 16 31 52,5,14,15,16,31,52
2017-12-02,02 03 26 40 41 55,2,3,26,40,41,55
2017-12-06,04 21 29 30 31 32,4,21,29,30,31,32
2017-12-09,06 11 17 25 28 54,6,11,17,25,28,54
2017-12-13,01 02 36 49 57 59,1,2,36,49,57,59
2017-12-16,08 21 44 49 53 59,8,21,44,49,53,59
2017-12-20,01 09 18 33 45 57,1,9,18,33,45,57
2017-12-23,07 09 19 37 48 50,7,9,19,37,48,50
2017-12-27,02 12 35 39 43 49,2,12,35,39,43,49
2017-12-30,08 20 29 30 31 47,8,20,29,30,31,47
2018-01-03,07 11 22 28 41 55,7,11,22,28,41,55
2018-01-06,01 02 04 40 55 59,1,2,4,40,55,59
2018-01-10,07 11 29 43 56 59,7,11,29,43,56,59
2018-01-13,30 46 47 48 56 59,30,46,47,48,56,59
2018-01-17,05 08 22 31 36 50,5,8,22,31,36,50
2018-01-20,10 15 24 44 45 55,10,15,24,44,45,55
2018-01-24,04 24 41 42 49 51,4,24,41,42,49,51
2018-01-27,02 06 16 37 53 54,2,6,16,37,53,54
2018-01-31,07 20 22 24 46 54,7,20,22,24,46,54
2018-02-03,02 29 51 54 55 57,2,29,51,54,55,57
2018-02-07,13 25 40 41 42 44,13,25,40,41,42,44
2018-02-10,02 06 11 19 35 42,2,6,11,19,35,42
2018-02-14,02 07 18 23 37 48,2,7,18,23,37,48
2018-02-17,03 26 32 42 43 49,3,26,32,42,43,49
2018-02-21,17 25 32 33 38 44,17,25,32,33,38,44
2018-02-24,07 25 26 29 37 43,7,25,26,29,37,43
2018-02-28,04 06 10 28 30 53,4,6,10,28,30,53
2018-03-03,02 04 21 34 37 48,2,4,21,34,37,48
2018-03-07,03 08 09 16 21 53,3,8,9,16,21,53
2018-03-10,11 14 22 40 43 46,11,14,22,40,43,46
2018-03-14,15 40 49 53 56 57,15,40,49,53,56,57
2018-03-17,02 10 13 23 31 46,2,10,13,23,31,46
2018-03-21,17 26 27 36 40 50,17,26,27,36,40,50
2018-03-24,15 22 23 50 51 57,15,22,23,50,51,57
2018-03-28,04 19 25 39 54 55,4,19,25,39,54,55
2018-03-31,05 18 36 37 41 57,5,18,36,37,41,57
2018-04-04,19 23 32 35 38 56,19,23,32,35,38,56
2018-04-07,02 05 10 23 31 53,2,5,10,23,31,53
2018-04-11,18 19 31 33 40 46,18,19,31,33,40,46
2018-04-14,05 12 23 27 30 56,5,12,23,27,30,56
2018-04-18,10 27 28 29 51 56,10,27,28,29,51,56
2018-04-21,09 19 20 21 45 47,9,19,20,21,45,47
2018-04-25,07 08 13 16 37 41,7,8,13,16,37,41
2018-04-28,08 27 38 39 42 48,8,27,38,39,42,48
2018-05-02,04 09 21 25 37 39,4,9,21,25,37,39
2018-05-05,02 16 17 38 41 42,2,16,17,38,41,42
2018-05-09,19 36 48 51 52 54,19,36,48,51,52,54
2018-05-12,01 26 40 42 47 55,1,26,40,42,47,55
2018-05-16,03 16 27 36 48 57,3,16,27,36,48,57
2018-05-19,03 38 41 56 57 59,3,38,41,56,57,59
2018-05-23,12 18 19 41 54 56,12,18,19,41,54,56
2018-05-26,03 17 27 28 41 44,3,17,27,28,41,44
2018-05-30,01 25 36 40 56 57,1,25,36,40,56,57
2018-06-02,02 18 27 29 37 59,2,18,27,29,37,59
2018-06-06,17 28 31 33 42 55,17,28,31,33,42,55
2018-06-09,09 10 20 28 32 37,9,10,20,28,32,37
2018-06-13,10 31 41 44 51 58,10,31,41,44,51,58
2018-06-16,11 20 21 30 44 55,11,20,21,30,44,55
2018-06-20,02 03 16 27 32 34,2,3,16,27,32,34
2018-06-23,03 04 16 20 25 49,3,4,16,20,25,49
2018-06-27,14 17 22 49 57 59,14,17,22,49,57,59
